Table 210-06401 : Unemployed persons and unemployment rate by age and sex,,,,,,,,
 ,,,,,,,,
Sex,,,Male,Male,Female,Female,Both sexes,Both sexes
 , , ,Unemployed persons (1),Unemployment rate (2),Unemployed persons (1),Unemployment rate (2),Unemployed persons (1),Unemployment rate (2)
,,,No. ('000),(%),No. ('000),(%),No. ('000),(%)
Year / Moving 3-month period,,Age group,,,,,,
1992,,60 and over,1.0,0.8,0.3,0.9,1.3,0.8
1992,,     60 - 64,0.7,0.9,,,1.0,1.0
1992,,     65 and over,0.3,0.6,,,0.3,0.6
1992,,15 and over,35.3,2.0,19.4,1.9,54.7,2.0
1993,,15 - 24,11.2,5.0,8.9,4.3,20.1,4.6
1993,,     15 - 19,4.8,8.5,2.8,7.5,7.6,8.1
1993,,     20 - 24,6.5,3.8,6.1,3.5,12.6,3.7
1993,,25 - 29,5.7,2.3,4.1,1.8,9.8,2.0
1993,,30 - 34,4.3,1.4,3.0,1.5,7.4,1.5
1993,,35 - 39,3.2,1.1,1.4,1.0,4.6,1.1
1993,,40 - 44,3.2,1.4,0.9,0.8,4.1,1.2
1993,,45 - 49,2.2,1.4,0.9,1.3,3.2,1.3
1993,,50 - 54,2.1,1.8,0.6,1.5,2.8,1.7
1993,,55 - 59,2.4,2.1,0.4,1.4,2.8,2.0
1993,,60 and over,1.3,1.3,,,1.6,1.2
1993,,     60 - 64,0.9,1.3,,,0.9,1.2
1993,,     65 and over,0.5,1.1,,,0.6,1.2
1993,,15 and over,35.8,2.0,20.6,1.9,56.3,2.0
1994,,15 - 24,11.5,5.2,7.8,3.8,19.3,4.5
1994,,     15 - 19,4.3,8.8,3.0,8.2,7.3,8.5
1994,,     20 - 24,7.2,4.2,4.8,2.8,12.0,3.5
1994,,25 - 29,5.6,2.3,3.0,1.3,8.6,1.8
1994,,30 - 34,4.5,1.5,2.4,1.1,6.8,1.3
1994,,35 - 39,4.2,1.4,1.8,1.2,6.0,1.3
1994,,40 - 44,2.9,1.2,1.8,1.4,4.6,1.3
1994,,45 - 49,3.1,1.7,1.1,1.3,4.2,1.6
1994,,50 - 54,2.3,2.0,0.3,0.7,2.6,1.6
1994,,55 - 59,2.4,2.2,0.3,0.9,2.7,1.9
1994,,60 and over,1.2,1.1,,,1.3,1.0
1994,,     60 - 64,0.9,1.4,,,1.0,1.3
1994,,     65 and over,,,,,,
1994,,15 and over,37.7,2.1,18.6,1.7,56.2,1.9
1995,,15 - 24,16.9,7.7,12.1,5.9,29.0,6.9
1995,,     15 - 19,6.0,12.5,4.7,12.8,10.7,12.7
1995,,     20 - 24,10.9,6.4,7.4,4.4,18.3,5.4
1995,,25 - 29,8.2,3.5,5.8,2.4,14.0,3.0
1995,,30 - 34,7.4,2.5,4.6,2.0,12.0,2.3
1995,,35 - 39,7.9,2.6,2.8,1.7,10.8,2.3
1995,,40 - 44,6.3,2.6,2.9,2.2,9.2,2.5
1995,,45 - 49,5.8,2.9,3.0,3.3,8.9,3.0
1995,,50 - 54,3.7,3.1,1.0,2.1,4.6,2.8
1995,,55 - 59,4.2,3.9,0.8,2.6,5.0,3.6
1995,,60 and over,2.0,1.9,0.3,1.1,2.3,1.7
1995,,     60 - 64,1.4,2.1,,,1.5,1.9
1995,,     65 and over,0.6,1.5,,,0.7,1.4
1995,,15 and over,62.3,3.4,33.3,2.9,95.6,3.2
1996,,15 - 24,16.9,7.4,11.7,5.3,28.6,6.4
1996,,     15 - 19,6.2,12.6,4.9,12.3,11.1,12.5
1996,,     20 - 24,10.7,6.0,6.8,3.8,17.5,4.9
1996,,25 - 29,7.4,3.1,5.0,2.1,12.5,2.6
1996,,30 - 34,7.2,2.4,4.0,1.7,11.1,2.1
1996,,35 - 39,6.5,2.0,2.6,1.4,9.2,1.8
1996,,40 - 44,6.3,2.4,2.1,1.5,8.5,2.1
1996,,45 - 49,5.6,2.5,2.1,2.0,7.7,2.3
1996,,50 - 54,4.2,3.2,0.6,1.2,4.8,2.7
1996,,55 - 59,3.3,3.0,0.5,1.5,3.7,2.7
1996,,60 and over,1.3,1.2,,,1.5,1.1
1996,,     60 - 64,1.2,1.7,,,1.3,1.5
1996,,     65 and over,,,,,,
1996,,15 and over,58.7,3.1,28.7,2.3,87.4,2.8
1997,,15 - 24,12.9,5.6,9.8,4.4,22.7,5.0
1997,,     15 - 19,4.6,9.4,4.2,10.9,8.8,10.0
1997,,     20 - 24,8.3,4.6,5.6,3.1,13.9,3.8
1997,,25 - 29,5.6,2.4,3.8,1.6,9.3,2.0
1997,,30 - 34,4.9,1.7,3.5,1.4,8.4,1.6
1997,,35 - 39,5.3,1.6,3.1,1.6,8.4,1.6
1997,,40 - 44,4.7,1.7,2.4,1.5,7.1,1.6
1997,,45 - 49,4.6,2.0,2.0,1.7,6.7,1.9
1997,,50 - 54,3.8,2.6,1.0,1.8,4.8,2.3
1997,,55 - 59,2.4,2.3,0.3,1.0,2.7,2.0
1997,,60 and over,1.1,1.0,,,1.2,1.0
1997,,     60 - 64,0.9,1.3,,,1.0,1.3
1997,,     65 and over,,,,,,
1997,,15 and over,45.2,2.3,26.0,2.0,71.2,2.2
1998,,15 - 24,26.7,11.9,19.9,8.9,46.6,10.4
1998,,     15 - 19,9.7,20.5,8.5,20.3,18.2,20.4
1998,,     20 - 24,17.0,9.6,11.4,6.3,28.4,7.9
1998,,25 - 29,11.6,4.9,7.6,3.1,19.1,4.0
1998,,30 - 34,11.6,4.2,6.0,2.5,17.6,3.4
1998,,35 - 39,11.4,3.5,5.4,2.6,16.8,3.1
1998,,40 - 44,12.1,4.1,5.6,3.4,17.7,3.9
1998,,45 - 49,10.9,4.5,4.6,3.7,15.4,4.2
1998,,50 - 54,8.7,5.5,2.7,3.9,11.4,5.0
1998,,55 - 59,5.7,5.5,1.0,3.1,6.6,5.0
1998,,60 and over,2.4,2.4,0.3,1.5,2.8,2.3
1998,,     60 - 64,2.1,3.2,0.3,2.3,2.4,3.0
